标题,项目,用户,状态,截止,完成时间,URL
Task 1503 lWrdllP5,Project PRJ_30_MSQ,user_215_C8p2X,待处理 / To Do,2026-01-02T09:23:47.753291+00:00,,
Task 1504 L0xpnHnx,Project PRJ_102_7TL,user_440_QClIc,待处理 / To Do,2026-01-12T09:23:47.753298+00:00,,
Task 1505 EuQceSsh,Project PRJ_123_IEH,user_304_dUGA7,待处理 / To Do,2026-01-20T09:23:47.753306+00:00,,
Task 1506 FqXFFET1,Project PRJ_115_8NB,user_291_p0P8X,已完成 / Done,2026-01-11T09:23:47.753313+00:00,,
Task 1508 2jZGzupr,Project PRJ_1_YOT,user_615_dv8RP,待处理 / To Do,2026-01-11T09:23:47.753329+00:00,,
Task 1509 fWGHIpDR,Project PRJ_56_GF4,user_669_WqRdf,待处理 / To Do,2026-01-07T09:23:47.753336+00:00,,
Task 1510 98fs4fVr,Project PRJ_163_LFK,user_982_rK1j9,待处理 / To Do,2026-01-14T09:23:47.753343+00:00,,
Task 1511 8ucYXtey,Project PRJ_63_OLJ,user_844_IIPIs,待处理 / To Do,2026-01-16T09:23:47.753350+00:00,,
Task 1512 AkQZnz2T,Project PRJ_34_K3O,user_852_y66Pt,待处理 / To Do,2026-01-26T09:23:47.753357+00:00,,
Task 1513 UmmdWXGs,Project PRJ_91_NKO,user_490_R2rPY,待处理 / To Do,2026-01-13T09:23:47.753365+00:00,,
Task 1514 fItcf33M,Project PRJ_147_DEZ,user_313_pFOoR,待处理 / To Do,2026-01-17T09:23:47.753372+00:00,,
Task 1515 OiIdwYNf,Project PRJ_99_FZP,user_870_FwMOu,待处理 / To Do,2026-01-18T09:23:47.753379+00:00,,
Task 1516 pydkQs0Z,Project PRJ_69_MXR,user_958_rryAG,待处理 / To Do,2026-01-22T09:23:47.753386+00:00,,
Task 1517 UJqoRWb6,Project PRJ_80_XZR,user_103_rrKe0,待处理 / To Do,2026-01-12T09:23:47.753393+00:00,,
Task 1518 eMwGwWJK,Project PRJ_110_J8D,user_97_wrsYW,已完成 / Done,2026-01-15T09:23:47.753400+00:00,,
Task 1519 glVHCzsz,Project PRJ_81_HGJ,user_354_T5RaE,已完成 / Done,2026-01-09T09:23:47.753408+00:00,,
Task 1520 lhBLkAfj,Project PRJ_11_CAD,user_765_jRDZR,待处理 / To Do,2026-01-21T09:23:47.753415+00:00,,
Task 1521 DMSrvv0b,Project PRJ_128_05J,user_281_fywLv,已完成 / Done,2026-01-07T09:23:47.753422+00:00,,
Task 1522 yZON16Wl,项目三(3)55555,user_273_F8QNd,待处理 / To Do,2026-01-12T09:23:47.753428+00:00,,
Task 1523 mmYVQT8K,Project PRJ_165_6KQ,user_531_PaXBV,待处理 / To Do,2026-01-22T09:23:47.753435+00:00,,
Task 1524 xRQeNoeb,Project PRJ_127_AFE,user_840_tV11X,待处理 / To Do,2026-01-03T09:23:47.753443+00:00,,
Task 1526 f7M61q6J,Project PRJ_16_IZT,user_951_mPgDD,进行中 / In Progress,2026-01-24T09:23:47.753457+00:00,,
Task 1527 8nIZUMt3,Project PRJ_106_ZUY,user_45_LZ5Pk,待处理 / To Do,2026-01-14T09:23:47.753464+00:00,,
Task 1528 A3sqw5m9,Project PRJ_98_RQM,user_379_AalX0,待处理 / To Do,2026-01-18T09:23:47.753471+00:00,,
Task 1529 byBamTsr,Project PRJ_43_7V9,user_879_o2df6,待处理 / To Do,2026-01-07T09:23:47.753478+00:00,,
Task 1530 IYr8l0rP,Project PRJ_11_CAD,user_42_OwYgs,已完成 / Done,2026-01-11T09:23:47.753486+00:00,,
Task 1531 HV4r71jE,Project PRJ_111_HJT,user_95_gEmG7,待处理 / To Do,2026-01-14T09:23:47.753493+00:00,,
Task 1532 NfWCFAEM,Project PRJ_19_TOW,user_57_98T5w,待处理 / To Do,2026-01-18T09:23:47.753500+00:00,,
Task 1533 UTkPE6Cj,Project PRJ_40_DBN,user_290_xdEjS,待处理 / To Do,2026-01-09T09:23:47.753507+00:00,,
Task 1535 TfrGqyZF,Project PRJ_1_YOT,user_778_0r78c,已完成 / Done,2026-01-19T09:23:47.753521+00:00,,
Task 1536 YP1ZkwEk,Project PRJ_112_EF0,user_907_Ul8uD,待处理 / To Do,2026-01-14T09:23:47.753527+00:00,,
Task 1537 PKeiakdZ,Project PRJ_32_CHI,user_807_GsSIP,待处理 / To Do,2026-01-27T09:23:47.753534+00:00,,
Task 1538 h2gBdRcy,Project PRJ_145_2EL,user_362_in8Ww,待处理 / To Do,2026-01-19T09:23:47.753542+00:00,,
Task 1540 dWQIBjKq,Project PRJ_122_FJH,user_387_MS2AQ,待处理 / To Do,2026-01-24T09:23:47.753556+00:00,,
Task 1541 2s2JDBHD,Project PRJ_11_CAD,user_829_we9Q0,待处理 / To Do,2026-01-28T09:23:47.753563+00:00,,
Task 1542 RseF8lBG,Project PRJ_53_OPN,user_295_9VXaI,待处理 / To Do,2025-12-30T09:23:47.753570+00:00,,
Task 1543 ozCt8e8i,Project PRJ_154_E4E,user_746_OD7Gi,已完成 / Done,2026-01-05T09:23:47.753577+00:00,,
Task 1544 ObBqzAvS,Project PRJ_23_TZY,user_69_VuSvq,待处理 / To Do,2026-01-01T09:23:47.753585+00:00,,
Task 1545 VIisGTXG,Project PRJ_121_DJC,user_395_mFTV2,待处理 / To Do,2026-01-06T09:23:47.753592+00:00,,
Task 1548 Gn5xDkaH,Project PRJ_191_8YM,user_393_uPuPf,待处理 / To Do,2026-01-05T09:23:47.753614+00:00,,
Task 1549 DHRPo9Ts,Project PRJ_163_LFK,user_495_AFGjV,待处理 / To Do,2026-01-09T09:23:47.753620+00:00,,
Task 1550 LCmeFlvK,Project PRJ_2_E8Z,user_481_xk6SO,待处理 / To Do,2026-01-08T09:23:47.753627+00:00,,
Task 1551 ZXI0pplp,Project PRJ_86_KVK,user_26_qcpJ8,待处理 / To Do,2026-01-02T09:23:47.753635+00:00,,
Task 1552 Ix8Cpv2M,Project PRJ_19_TOW,user_693_RzUck,待处理 / To Do,2026-01-08T09:23:47.753642+00:00,,
Task 1553 jdXwW74O,Project PRJ_90_I9M,user_295_9VXaI,待处理 / To Do,2026-01-15T09:23:47.753649+00:00,,
Task 1554 Oylj9vSU,Project PRJ_128_05J,user_402_IubFG,待处理 / To Do,2026-01-08T09:23:47.753656+00:00,,
Task 1555 gtbz34dI,Project PRJ_102_7TL,user_624_wKvJ2,待处理 / To Do,2026-01-22T09:23:47.753664+00:00,,
Task 1556 2xzx72HS,Project PRJ_146_EJS,user_874_FHDgC,待处理 / To Do,2026-01-11T09:23:47.753671+00:00,,
Task 1557 2CY9jL3o,Project PRJ_161_9RN,user_65_QZA6d,待处理 / To Do,2025-12-30T09:23:47.753677+00:00,,
Task 1558 qGxkXHKN,Project PRJ_193_NPX,user_965_HVXLj,待处理 / To Do,2025-12-28T09:23:47.753684+00:00,,
Task 1559 9e6DpAPu,Project PRJ_150_MCO,user_3_ndZyd,待处理 / To Do,2026-01-21T09:23:47.753691+00:00,,
Task 1560 IWDApzeV,Project PRJ_50_8I2,user_564_yre8P,已完成 / Done,2026-01-20T09:23:47.753698+00:00,,
Task 1561 uDDblNmu,Project PRJ_96_W0M,user_710_RMiFe,待处理 / To Do,2026-01-24T09:23:47.753705+00:00,,
Task 1563 eINMlqTO,Project PRJ_195_THX,user_536_Gz6AK,待处理 / To Do,2026-01-19T09:23:47.753719+00:00,,
Task 1564 59Tk4XLm,Project PRJ_7_ZL8,user_434_MS80p,待处理 / To Do,2025-12-28T09:23:47.753727+00:00,,
Task 1566 iMTpzxGn,Project PRJ_108_OQE,user_181_MPoME,待处理 / To Do,2026-01-23T09:23:47.753741+00:00,,
Task 1567 kH0v5BcM,Project PRJ_153_ZIU,user_465_drfUs,待处理 / To Do,2026-01-20T09:23:47.753748+00:00,,
Task 1568 gGLpt6ht,Project PRJ_24_4Z0,user_57_98T5w,待处理 / To Do,2026-01-13T09:23:47.753756+00:00,,
Task 1569 7JlcYgVe,Project PRJ_158_NKV,user_46_IjTOs,待处理 / To Do,2026-01-13T09:23:47.753762+00:00,,
Task 1570 2n7pwnpa,Project PRJ_185_HL1,user_597_EKiNi,已完成 / Done,2026-01-03T09:23:47.753769+00:00,,
Task 1571 xgsEGYcC,Project PRJ_138_TLV,user_716_XGH8j,待处理 / To Do,2026-01-06T09:23:47.753778+00:00,,
Task 1572 whbWi1lc,Project PRJ_119_OJT,user_913_n40sc,待处理 / To Do,2026-01-18T09:23:47.753785+00:00,,
Task 1573 DB2QQaxv,Project PRJ_94_AS8,user_2_YKmEy,待处理 / To Do,2026-01-10T09:23:47.753791+00:00,,
Task 1574 vWd81WLk,Project PRJ_155_JDO,user_73_pRHqr,已完成 / Done,2026-01-05T09:23:47.753798+00:00,,
Task 1575 U83CaIsF,Project PRJ_123_IEH,user_672_OEbk4,待处理 / To Do,2026-01-12T09:23:47.753807+00:00,,
Task 1576 VUtDcoAT,Project PRJ_151_JNR,user_522_hWAPA,已完成 / Done,2026-01-17T09:23:47.753814+00:00,,
Task 1579 eIgYIbjt,Project PRJ_44_VWS,user_678_AQ808,待处理 / To Do,2026-01-22T09:23:47.753838+00:00,,
Task 1580 xMZT5E3b,Project PRJ_106_ZUY,user_295_9VXaI,待处理 / To Do,2026-01-22T09:23:47.753845+00:00,,
Task 1581 nJNBK4Y5,Project PRJ_72_B2E,user_398_GGOLk,待处理 / To Do,2026-01-05T09:23:47.753852+00:00,,
Task 1582 7Thy29NH,Project PRJ_35_8OV,user_432_fClRm,待处理 / To Do,2026-01-21T09:23:47.753859+00:00,,
Task 1583 1OsRIjCp,Project PRJ_192_AV2,user_176_mokE6,待处理 / To Do,2026-01-22T09:23:47.753866+00:00,,
Task 1584 zFX6320w,Project PRJ_8_QQD,user_475_14Vug,已完成 / Done,2026-01-21T09:23:47.753873+00:00,,
Task 1586 rTs8JHCe,Project PRJ_105_T2I,user_277_DOGDg,待处理 / To Do,2026-01-12T09:23:47.753889+00:00,,
Task 1587 iRfZwtkg,Project PRJ_196_SI5,user_910_jNTPl,待处理 / To Do,2026-01-07T09:23:47.753896+00:00,,
Task 1589 VKgJvb3e,Project PRJ_41_BSG,user_90_tIz9M,阻塞中 / Blocked,2026-01-28T09:23:47.753910+00:00,,
Task 1590 CyiH4FVz,Project PRJ_121_DJC,user_563_DL0bY,待处理 / To Do,2026-01-08T09:23:47.753917+00:00,,
Task 1591 OLk0Ij9f,Project PRJ_62_9XT,user_195_koUVd,待处理 / To Do,2026-01-11T09:23:47.753924+00:00,,
Task 1592 tMIB2ukH,Project PRJ_149_R4D,user_795_d9OMT,待处理 / To Do,2026-01-10T09:23:47.753932+00:00,,
Task 1593 WrMzIEHv,Project PRJ_126_ROM,user_450_lXup5,待处理 / To Do,2026-01-17T09:23:47.753939+00:00,,
Task 1594 NTsTqbdk,Project PRJ_124_9RN,user_258_lHjxf,已完成 / Done,2026-01-17T09:23:47.753946+00:00,,
Task 1595 NDxlNiTw,Project PRJ_116_VVB,user_499_6gKBo,待处理 / To Do,2026-01-25T09:23:47.753953+00:00,,
Task 1596 5m0krwz0,Project PRJ_114_FI0,user_656_vg7CX,待处理 / To Do,2026-01-23T09:23:47.753960+00:00,,
Task 1598 OpEhxHed,Project PRJ_31_OCV,user_22_DlKSz,待处理 / To Do,2026-01-15T09:23:47.753974+00:00,,
Task 1599 bUv4uokY,Project PRJ_52_NLX,user_980_D6v35,待处理 / To Do,2026-01-15T09:23:47.754020+00:00,,
Task 1600 QwB7B2zd,Project PRJ_186_QFT,user_460_tHsf9,待处理 / To Do,2026-01-05T09:23:47.754029+00:00,,
Task 1601 N6tIAIfe,Project PRJ_72_B2E,user_22_DlKSz,已完成 / Done,2026-01-12T09:23:47.754036+00:00,,
Task 1602 bDlMEJFF,Project PRJ_184_TI9,user_19_A5uAG,待处理 / To Do,2026-01-13T09:23:47.754043+00:00,,
Task 1603 rQSz5qJW,Project PRJ_165_6KQ,user_17_CiLyR,待处理 / To Do,2026-01-16T09:23:47.754050+00:00,,
Task 1604 r13s51I1,Project PRJ_98_RQM,user_956_wEm8K,待处理 / To Do,2026-01-05T09:23:47.754057+00:00,,
Task 1605 7Zlngwtd,Project PRJ_30_MSQ,user_376_suv1d,已完成 / Done,2026-01-06T09:23:47.754064+00:00,,
Task 1606 TCJuduEj,Project PRJ_11_CAD,user_722_4Ni3S,待处理 / To Do,2026-01-15T09:23:47.754071+00:00,,
Task 1607 IefJzFCp,Project PRJ_35_8OV,user_665_fWrgB,待处理 / To Do,2026-01-20T09:23:47.754078+00:00,,
Task 1608 LwFq6iYL,Project PRJ_103_M7T,user_662_yM7Dx,已完成 / Done,2026-01-09T09:23:47.754085+00:00,,
Task 1609 tnkwFIBn,Project PRJ_32_CHI,user_802_ZT8cl,待处理 / To Do,2026-01-04T09:23:47.754092+00:00,,
Task 1611 D0d6lnvS,Project PRJ_153_ZIU,user_948_tiXz3,待处理 / To Do,2026-01-06T09:23:47.754106+00:00,,
Task 1612 ToSQrt42,Project PRJ_27_XOD,user_431_dX4JE,已完成 / Done,2026-01-19T09:23:47.754113+00:00,,
Task 1613 AQFTXeDv,Project PRJ_59_QL9,user_135_ixePD,阻塞中 / Blocked,2026-01-26T09:23:47.754120+00:00,,
Task 1614 wyOfgPsv,Project PRJ_169_MJY,user_814_ptZVZ,已完成 / Done,2026-01-16T09:23:47.754127+00:00,,
Task 1615 3rqD4ffJ,Project PRJ_85_SDW,user_828_ZUS5G,待处理 / To Do,2026-01-08T09:23:47.754134+00:00,,
Task 1616 oaEX8KrX,Project PRJ_63_OLJ,user_489_ww6hL,已完成 / Done,2026-01-11T09:23:47.754142+00:00,,
Task 1617 6LCCmQGA,Project PRJ_34_K3O,user_352_nXHw0,待处理 / To Do,2026-01-02T09:23:47.754149+00:00,,
Task 1618 q3qwYni0,Project PRJ_170_6Y7,user_980_D6v35,待处理 / To Do,2025-12-30T09:23:47.754155+00:00,,
Task 1619 tIh4ZnNs,Project PRJ_73_IBI,user_761_OYg0W,待处理 / To Do,2026-01-10T09:23:47.754162+00:00,,
Task 1620 tAl48YD7,Project PRJ_60_YMQ,user_810_zfhcO,待处理 / To Do,2026-01-14T09:23:47.754169+00:00,,
Task 1621 Xzjs99F7,Project PRJ_143_QL6,user_238_e7BXQ,待处理 / To Do,2026-01-18T09:23:47.754176+00:00,,
Task 1622 Aw3v0zzR,Project PRJ_171_FV6,user_230_IGRgm,待处理 / To Do,2026-01-19T09:23:47.754183+00:00,,
Task 1624 iq4N1DRg,Project PRJ_176_T4O,user_935_WJG6E,已完成 / Done,2026-01-13T09:23:47.754198+00:00,,
Task 1625 UwJRJRsz,Project PRJ_63_OLJ,user_508_e6eti,待处理 / To Do,2026-01-24T09:23:47.754205+00:00,,
Task 1626 QayE0qoz,Project PRJ_107_RYE,user_991_qmHqO,待处理 / To Do,2026-01-12T09:23:47.754212+00:00,,
Task 1627 RqU5euzv,Project PRJ_133_22A,user_457_JU3hK,待处理 / To Do,2026-01-24T09:23:47.754219+00:00,,
Task 1628 AOEhM4Sb,Project PRJ_41_BSG,user_671_hImfG,阻塞中 / Blocked,2026-01-28T09:23:47.754226+00:00,,
Task 1629 RGR4qURP,Project PRJ_111_HJT,user_45_LZ5Pk,已完成 / Done,2026-01-15T09:23:47.754233+00:00,,
Task 1630 07Ub78qe,Project PRJ_189_HPD,user_97_wrsYW,待处理 / To Do,2026-01-18T09:23:47.754240+00:00,,
Task 1631 VEwuC7Uy,Project PRJ_76_NK7,user_763_q1boB,进行中 / In Progress,2026-01-27T09:23:47.754247+00:00,,
Task 1632 Ub9gGfEd,Project PRJ_130_4CW,user_959_SQS5d,待处理 / To Do,2026-01-10T09:23:47.754254+00:00,,
Task 1633 1YxPivE7,Project PRJ_135_CGN,user_608_GK2pU,待处理 / To Do,2026-01-09T09:23:47.754262+00:00,,
Task 1634 EYgTH8N6,Project PRJ_17_WC7,user_299_7NaAp,进行中 / In Progress,2026-01-28T09:23:47.754269+00:00,,
Task 1636 J2tW9qdq,Project PRJ_94_AS8,user_705_HXw32,待处理 / To Do,2026-01-13T09:23:47.754285+00:00,,
Task 1637 LZCZvrvH,Project PRJ_59_QL9,user_87_sh7RU,待处理 / To Do,2026-01-10T09:23:47.754292+00:00,,
Task 1638 Gr5ARVJj,Project PRJ_2_E8Z,user_436_b00Om,待处理 / To Do,2026-01-25T09:23:47.754299+00:00,,
Task 1639 hcp9Nymy,Project PRJ_164_Z2W,user_4_JiygS,待处理 / To Do,2025-12-30T09:23:47.754306+00:00,,
Task 1640 B8Bp4MAU,Project PRJ_73_IBI,user_911_6taC8,待处理 / To Do,2026-01-12T09:23:47.754314+00:00,,
Task 1641 kAPXiv3M,Project PRJ_180_MBQ,user_300_Kak6l,待处理 / To Do,2026-01-18T09:23:47.754322+00:00,,
Task 1642 S90Jtre2,Project PRJ_121_DJC,user_572_ZNgvz,待处理 / To Do,2026-01-07T09:23:47.754329+00:00,,
Task 1644 yQT4VETJ,Project PRJ_146_EJS,user_535_FOOhv,已完成 / Done,2026-01-11T09:23:47.754343+00:00,,
Task 1645 ESwfkfwa,Project PRJ_78_14V,user_323_sZHXG,待处理 / To Do,2026-01-03T09:23:47.754350+00:00,,
Task 1646 zcLc6jsb,Project PRJ_186_QFT,user_566_dKJ0x,待处理 / To Do,2026-01-13T09:23:47.754357+00:00,,
Task 1647 bQEAPJeU,Project PRJ_83_JB5,user_398_GGOLk,待处理 / To Do,2026-01-15T09:23:47.754364+00:00,,
Task 1648 jpVT1xOd,Project PRJ_185_HL1,user_86_mTbgA,待处理 / To Do,2025-12-25T09:23:47.754371+00:00,,
Task 1649 Ck71Z0h0,Project PRJ_172_0Z8,user_856_3rREO,待处理 / To Do,2025-12-31T09:23:47.754378+00:00,,
Task 1650 oPQYihzz,Project PRJ_124_9RN,user_462_bO2sU,待处理 / To Do,2026-01-17T09:23:47.754385+00:00,,
Task 1651 qszrX6UE,Project PRJ_34_K3O,user_222_w0AkK,待处理 / To Do,2025-12-31T09:23:47.754392+00:00,,
Task 1652 KwfAImWc,Project PRJ_102_7TL,user_279_Mi2Kk,待处理 / To Do,2026-01-01T09:23:47.754399+00:00,,
Task 1653 EUmI0nsv,Project PRJ_29_W9W,user_34_n7nCe,待处理 / To Do,2026-01-10T09:23:47.754406+00:00,,
Task 1654 ikyDjxn5,Project PRJ_186_QFT,user_325_abbm0,已完成 / Done,2025-12-27T09:23:47.754413+00:00,,
Task 1656 SRtA0uDQ,项目三(3)55555,user_896_ptz2g,待处理 / To Do,2026-01-15T09:23:47.754427+00:00,,
Task 1657 ZE2JEtMv,Project PRJ_87_XV3,user_801_45xE6,待处理 / To Do,2026-01-01T09:23:47.754433+00:00,,
Task 1658 vanRmAT7,Project PRJ_124_9RN,user_841_mL4uQ,待处理 / To Do,2026-01-17T09:23:47.754440+00:00,,
Task 1659 HMRFwG1d,Project PRJ_80_XZR,user_134_cyKwU,待处理 / To Do,2026-01-18T09:23:47.754448+00:00,,
Task 1660 QGOAgpF1,Project PRJ_72_B2E,user_417_Hhds6,待处理 / To Do,2026-01-20T09:23:47.754455+00:00,,
Task 1662 cpanrzPy,Project PRJ_54_HM5,user_652_163ad,待处理 / To Do,2026-01-26T09:23:47.754469+00:00,,
Task 1663 uI1Uj0P5,Project PRJ_39_6GG,user_326_PGua2,待处理 / To Do,2026-01-26T09:23:47.754476+00:00,,
Task 1664 jhmQfy0t,Project PRJ_153_ZIU,user_86_mTbgA,待处理 / To Do,2026-01-26T09:23:47.754544+00:00,,
Task 1665 MKrBiUen,Project PRJ_131_WQZ,user_339_O1faQ,待处理 / To Do,2026-01-04T09:23:47.754589+00:00,,
Task 1666 6Etxerw1,Project PRJ_95_L1G,user_19_A5uAG,待处理 / To Do,2026-01-22T09:23:47.754608+00:00,,
Task 1667 WDiSmYec,Project PRJ_171_FV6,user_808_H55rG,待处理 / To Do,2025-12-26T09:23:47.754618+00:00,,
Task 1668 Z7NjtBoK,Project PRJ_34_K3O,user_282_2VNhx,待处理 / To Do,2026-01-14T09:23:47.754628+00:00,,
Task 1669 ZwYBYLKZ,Project PRJ_94_AS8,user_872_GLKLE,待处理 / To Do,2026-01-07T09:23:47.754637+00:00,,
Task 1670 BLjAWyXC,Project PRJ_113_ZK8,user_20_0XL38,待处理 / To Do,2026-01-16T09:23:47.754646+00:00,,
Task 1671 zqlQxCR3,Project PRJ_92_KYR,user_401_Muew8,待处理 / To Do,2026-01-16T09:23:47.754655+00:00,,
Task 1672 E1Zklejh,Project PRJ_132_FXY,user_463_XhVX0,待处理 / To Do,2026-01-11T09:23:47.754665+00:00,,
Task 1673 WI6fK26J,Project PRJ_3_YJD,user_406_ZW4Lc,已完成 / Done,2026-01-11T09:23:47.754676+00:00,,
Task 1675 kmDpIyN2,Project PRJ_178_KUH,user_583_1C2QQ,待处理 / To Do,2026-01-22T09:23:47.754695+00:00,,
Task 1676 PLFiHpn6,Project PRJ_98_RQM,user_984_iJVKu,待处理 / To Do,2026-01-10T09:23:47.754703+00:00,,
Task 1677 6Uks9X5o,Project PRJ_10_NWR,user_843_FGYl8,已完成 / Done,2026-01-10T09:23:47.754712+00:00,,
Task 1678 lA80cJsQ,Project PRJ_174_VYL,user_724_ezhv2,进行中 / In Progress,2026-01-24T09:23:47.754720+00:00,,
Task 1679 Z37B03rF,Project PRJ_182_MGE,user_101_o33bW,待处理 / To Do,2026-01-10T09:23:47.754729+00:00,,
Task 1680 K4HcUwFL,Project PRJ_20_NGL,user_919_teXeS,待处理 / To Do,2026-01-22T09:23:47.754738+00:00,,
Task 1681 KOALHSoZ,Project PRJ_41_BSG,user_419_f93k5,待处理 / To Do,2026-01-20T09:23:47.754748+00:00,,
Task 1682 TzzbczmA,Project PRJ_114_FI0,user_114_cPAGC,待处理 / To Do,2026-01-18T09:23:47.754759+00:00,,
Task 1683 oXgBOCZp,Project PRJ_73_IBI,user_970_NKlF9,待处理 / To Do,2026-01-12T09:23:47.754769+00:00,,
Task 1684 KDYasmU3,Project PRJ_74_QNH,user_383_jecL5,待处理 / To Do,2026-01-19T09:23:47.754823+00:00,,
Task 1685 qgklBF0L,Project PRJ_55_VOJ,user_322_huLGG,待处理 / To Do,2026-01-07T09:23:47.754843+00:00,,
Task 1686 SnsiaoxK,Project PRJ_196_SI5,user_919_teXeS,待处理 / To Do,2026-01-09T09:23:47.754856+00:00,,
Task 1688 zBwhBiy5,Project PRJ_10_NWR,user_37_RR1iW,待处理 / To Do,2026-01-15T09:23:47.754891+00:00,,
Task 1689 3OQQUogE,Project PRJ_38_W0C,user_654_Q1HXF,待处理 / To Do,2026-01-18T09:23:47.754916+00:00,,
Task 1690 WQrhIYrt,Project PRJ_94_AS8,user_426_Qs82M,待处理 / To Do,2026-01-08T09:23:47.754927+00:00,,
Task 1691 oomZXJpb,Project PRJ_191_8YM,user_476_6NmpP,待处理 / To Do,2026-01-21T09:23:47.754938+00:00,,
Task 1693 AxEiEjyj,Project PRJ_176_T4O,user_121_vIR1f,待处理 / To Do,2026-01-22T09:23:47.754961+00:00,,
Task 1694 NdFEzVEn,Project PRJ_193_NPX,user_487_72CXu,待处理 / To Do,2026-01-08T09:23:47.755019+00:00,,
Task 1695 JEWU2toY,Project PRJ_177_NVU,user_670_NqdWA,待处理 / To Do,2026-01-06T09:23:47.755039+00:00,,
Task 1696 frhxEkGv,Project PRJ_25_XDR,user_789_wJgta,待处理 / To Do,2026-01-13T09:23:47.755052+00:00,,
Task 1697 EBzns1yu,Project PRJ_174_VYL,user_120_2QLcU,已完成 / Done,2026-01-27T09:23:47.755062+00:00,,
Task 1698 fZ8JqwaU,Project PRJ_124_9RN,user_545_jNRTG,待处理 / To Do,2026-01-16T09:23:47.755074+00:00,,
Task 1699 vVCAA5wS,Project PRJ_38_W0C,user_180_WPaaV,待处理 / To Do,2026-01-21T09:23:47.755086+00:00,,
Task 1700 GnkiE2OQ,Project PRJ_119_OJT,user_606_Bshx4,待处理 / To Do,2025-12-27T09:23:47.755103+00:00,,
Task 1701 xKrL6EaS,Project PRJ_98_RQM,user_219_qpLh3,待处理 / To Do,2026-01-18T09:23:47.755111+00:00,,
Task 1702 oRd4wYvr,Project PRJ_121_DJC,user_726_lhpss,待处理 / To Do,2026-01-17T09:23:47.755120+00:00,,
Task 1703 lb6vKHHA,Project PRJ_13_EPO,user_987_x1ifa,已完成 / Done,2026-01-08T09:23:47.755128+00:00,,
Task 1704 ToJ6LoZ6,Project PRJ_127_AFE,user_856_3rREO,待处理 / To Do,2026-01-04T09:23:47.755139+00:00,,
Task 1705 Z6E0hXIb,Project PRJ_197_C7K,user_866_a6lHj,待处理 / To Do,2026-01-23T09:23:47.755148+00:00,,
Task 1706 898tShhJ,Project PRJ_14_7K9,user_463_XhVX0,待处理 / To Do,2026-01-07T09:23:47.755156+00:00,,
Task 1707 tXmmW3rS,Project PRJ_50_8I2,user_628_Qkz1N,待处理 / To Do,2025-12-28T09:23:47.755164+00:00,,
Task 1708 VsbqP8Q1,Project PRJ_129_ZLN,user_665_fWrgB,待处理 / To Do,2026-01-11T09:23:47.755171+00:00,,
Task 1709 hA4W7KZS,Project PRJ_20_NGL,user_650_Du9u1,待处理 / To Do,2026-01-21T09:23:47.755179+00:00,,
Task 1710 xQvNPxk4,Project PRJ_54_HM5,user_215_C8p2X,已完成 / Done,2026-01-01T09:23:47.755187+00:00,,
Task 1711 Xb37QY4J,Project PRJ_91_NKO,user_899_fAGce,待处理 / To Do,2026-01-11T09:23:47.755194+00:00,,
Task 1713 AAzQxYdE,Project PRJ_14_7K9,user_416_QMf5V,待处理 / To Do,2026-01-02T09:23:47.755209+00:00,,
Task 1715 9N09TAap,项目三(3)55555,user_411_5b02C,待处理 / To Do,2026-01-25T09:23:47.755226+00:00,,
Task 1716 lwau5s2k,Project PRJ_92_KYR,user_124_RKKcT,待处理 / To Do,2026-01-26T09:23:47.755235+00:00,,
Task 1718 UGYadZCp,Project PRJ_113_ZK8,user_170_A7H77,已完成 / Done,2025-12-31T09:23:47.755257+00:00,,
Task 1719 dw8YgBBy,Project PRJ_112_EF0,user_830_IpvTQ,待处理 / To Do,2026-01-25T09:23:47.755265+00:00,,
Task 1720 7qgoYk4I,Project PRJ_186_QFT,user_483_iqe8V,待处理 / To Do,2025-12-26T09:23:47.755272+00:00,,
Task 1721 EcT0Ygf2,Project PRJ_6_NXT,user_231_GE1J2,待处理 / To Do,2026-01-22T09:23:47.755280+00:00,,
Task 1722 0AP3XtXz,Project PRJ_66_9OF,user_83_OJLNr,待处理 / To Do,2026-01-17T09:23:47.755288+00:00,,
Task 1723 Xa9AD6L6,Project PRJ_81_HGJ,user_442_AMdiw,待处理 / To Do,2025-12-30T09:23:47.755295+00:00,,
Task 1724 f1DJqZ2h,Project PRJ_27_XOD,user_96_mOqgQ,待处理 / To Do,2026-01-03T09:23:47.755303+00:00,,
Task 1726 47KWKmGQ,Project PRJ_23_TZY,user_600_qpKDn,进行中 / In Progress,2026-01-27T09:23:47.755318+00:00,,
Task 1728 dhJVuk68,Project PRJ_60_YMQ,user_50_t5ytv,待处理 / To Do,2026-01-23T09:23:47.755332+00:00,,
Task 1729 4RKpce0q,Project PRJ_99_FZP,user_458_WcrcC,已完成 / Done,2026-01-20T09:23:47.755340+00:00,,
Task 1730 o5BX2hWW,Project PRJ_52_NLX,user_76_u3nsc,待处理 / To Do,2026-01-16T09:23:47.755347+00:00,,
Task 1731 2Br1NhUF,Project PRJ_177_NVU,user_630_bkK7G,待处理 / To Do,2026-01-18T09:23:47.755355+00:00,,
Task 1732 Q7wlB1tR,Project PRJ_158_NKV,user_783_53Rmk,待处理 / To Do,2026-01-05T09:23:47.755362+00:00,,
